"marital = married","marital = single","marital = divorced","default = no","default = yes","housing = no","housing = yes","loan = no","loan = yes","poutcome = unknown","poutcome = failure","poutcome = other","poutcome = success","age","balance","campaign","pdays","previous","id","y","confidence(no)","confidence(yes)","prediction(y)"
0,1,0,1,0,1,0,1,0,0,0,0,1,69,2144,1,184,4,"4094","yes",0.45838173327883824,0.5416182667211619,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,58,462,1,93,1,"3499","yes",0.4583828870541901,0.5416171129458099,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,58,2223,2,114,1,"3645","no",0.4586398083653434,0.5413601916346567,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,44,14,1,92,1,"2540","yes",0.45865273494478187,0.541347265055218,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,46,624,2,183,2,"856","yes",0.45865947005418467,0.5413405299458154,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,38,70,3,148,1,"4010","yes",0.4588455011205206,0.5411544988794793,"yes"
0,0,1,1,0,1,0,1,0,0,0,0,1,36,2843,1,182,1,"99","no",0.4588698006247402,0.5411301993752597,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,47,3696,2,181,4,"541","yes",0.45889382300364717,0.541106176996353,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,38,0,3,95,3,"3386","yes",0.45904445690542545,0.5409555430945745,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,31,64,1,105,2,"3371","no",0.45912128022003046,0.5408787197799695,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,30,305,1,85,2,"3685","yes",0.4591470870363077,0.5408529129636922,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,31,2544,1,184,3,"3089","yes",0.4591698241349378,0.5408301758650622,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,437,1,92,1,"2676","yes",0.4591708040820754,0.5408291959179247,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,572,1,195,1,"4459","yes",0.4591734421443009,0.540826557855699,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,19,2,64,2,"3836","yes",0.45919847037441475,0.5408015296255853,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,113,2,183,4,"1486","yes",0.4592003055436184,0.5407996944563815,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,32,5514,1,182,1,"1167","yes",0.45920738590025467,0.5407926140997453,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,27,390,1,82,1,"3244","no",0.45921225744844635,0.5407877425515536,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,1445,2,143,2,"1755","yes",0.45922637628168766,0.5407736237183124,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,26,255,1,80,1,"881","yes",0.4592308482258818,0.5407691517741182,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,26,294,1,91,2,"3875","yes",0.4592316110339955,0.5407683889660045,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,37,6101,5,87,1,"398","no",0.4592569297930513,0.5407430702069487,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,28,168,3,140,2,"685","yes",0.4592584557254483,0.5407415442745517,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,28,4745,1,181,5,"3177","yes",0.45927683243695533,0.5407231675630446,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,29,15459,3,97,7,"1217","no",0.4595442118696092,0.5404557881303907,"yes"
0,1,0,1,0,1,0,1,0,0,0,0,1,21,2488,6,169,3,"111","yes",0.4595619503815506,0.5404380496184494,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,77,0,1,60,1,"1438","yes",0.4635728722429864,0.5364271277570136,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,75,3771,1,181,2,"200","yes",0.4637019830799447,0.5362980169200553,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,77,7802,1,92,2,"478","yes",0.4637483303737648,0.5362516696262353,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,71,383,2,183,3,"1187","no",0.4637555052256862,0.5362444947743139,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,79,8556,2,272,2,"3203","yes",0.4637601301441884,0.5362398698558117,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,69,426,1,90,1,"4225","yes",0.4637620803961108,0.5362379196038892,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,73,1388,3,190,3,"1443","no",0.4637724296953293,0.5362275703046707,"yes"
1,0,0,1,0,1,0,1,0,0,0,0,1,66,1948,1,91,4,"3979","yes",0.46386413261209525,0.5361358673879049,"yes"
